mapping_key,database,system_model,version,activity_name,location,reference_product,unit,match_count,source,shareable,review_status,notes
pipeline_steel,ecoinvent,APOS,3.8,"steel production, low-alloyed, hot rolled",RER,"steel, low-alloyed, hot rolled",kg,13,local ecoinvent lookup metadata,yes,needs_lca_review,Selected from local lookup as candidate process; final choice needs LCA review.
offshore_pipeline_construction,ecoinvent,APOS,3.8,"market for pipeline, natural gas, long distance, high capacity, offshore",GLO,"pipeline, natural gas, long distance, high capacity, offshore",km,2,local ecoinvent lookup metadata,yes,needs_lca_review,Useful proxy for new-build offshore pipeline construction.
refurbishment_activity,ecoinvent_derived,APOS,3.8,"user-defined pipeline refurbishment package",project,"pipeline refurbishment activity",km,0,project model,yes,needs_private_factor,"Private factor should be built from selected ecoinvent processes for inspection, cleaning, repair, diesel, vessels, and recommissioning."
decommissioned_pipeline,ecoinvent,APOS,3.8,"market for decommissioned pipeline, natural gas",RoW,"decommissioned pipeline, natural gas",kg,4,local ecoinvent lookup metadata,yes,needs_lca_review,Useful for reuse/decommissioning burden or credit sensitivity.
electricity,ecoinvent,APOS,3.8,electricity voltage transformation from high to medium voltage,GB,"electricity, medium voltage",kWh,439,local ecoinvent lookup metadata,yes,needs_lca_review,GB candidate found; final model may need UK grid year/scenario sensitivity.
diesel_machinery,ecoinvent,APOS,3.8,"market for diesel, low-sulfur",Europe without Switzerland,"diesel, low-sulfur",MJ,55,local ecoinvent lookup metadata,yes,needs_lca_review,Proxy for fuel/machinery until construction vessel data are chosen.
freight_transport,ecoinvent,APOS,3.8,"market for transport, freight, lorry 16-32 metric ton, EURO4",RER,"transport, freight, lorry 16-32 metric ton, EURO4",tonne-km,240,local ecoinvent lookup metadata,yes,needs_lca_review,Generic freight proxy; offshore logistics may need a better marine transport process later.
scrap_steel,ecoinvent,APOS,3.8,"treatment of scrap steel, inert material landfill",Europe without Switzerland,scrap steel,kg,15,local ecoinvent lookup metadata,yes,needs_lca_review,End-of-life choice has high sensitivity; keep as explicit scenario option.
not_applicable,none,none,none,not applicable,not applicable,not applicable,not applicable,0,project model,yes,not_required,Used for inventory rows that are not linked directly to an ecoinvent process.
to_be_mapped,none,none,none,to be mapped,to be mapped,to be mapped,to be mapped,0,project model,yes,open,Used for future items such as injection well where a final process has not been selected.
