source_id,source_type,source_name,year,url_or_local_path,lca_type,relevance,model_decision_supported,status,notes
iso_14040_2006,standard,ISO 14040:2006 Environmental management - Life cycle assessment - Principles and framework,2006,https://www.iso.org/standard/37456.html,conventional,"Defines LCA principles, framework, goal and scope, LCI, LCIA, interpretation, reporting, and critical review.",Use ISO phases as the backbone of the LCA module.,adopted,"Current version confirmed by ISO in 2022."
iso_14044_2006,standard,ISO 14044:2006 Environmental management - Life cycle assessment - Requirements and guidelines,2006,https://www.iso.org/standard/38498.html,conventional,"Defines LCA requirements and practitioner guidance.",Use for requirements on scope, inventory, impact assessment, interpretation, reporting, limitations, and review.,adopted,"Current version confirmed by ISO in 2022."
jrc_ilcd_handbook_2011,guidance,International Reference Life Cycle Data System ILCD Handbook - General guide for Life Cycle Assessment - Detailed guidance,2011,https://publications.jrc.ec.europa.eu/repository/handle/JRC48157,conventional,"Provides practical technical guidance for consistent and quality-assured LCA studies.",Use as data quality and documentation reference.,adopted,"Useful bridge between ISO principles and practical modelling."
iogp_report_672_2024,report,IOGP Report 672 - Overview of lifecycle assessment for carbon capture and storage projects,2024,https://www.iogp.org/bookstore/product/overview-of-lifecycle-assessment-for-carbon-capture-and-storage-projects/,conventional_ccs,"CCS project lifecycle guidance including transport and storage projects and hub-type networks.",Use for CCS system boundaries and reporting stages.,adopted,"Also available locally as supplied PDF."
norsus_or_28_22_2022,report,NORSUS OR 28.22 - Guidelines for Life Cycle Assessment of CCU systems,2022,"C:\Users\aj52\OneDrive - Heriot-Watt University\MOFs - LCA\LCA\OR-28.22_Report-Guidelines-LCA-of-CCU-systems-1.pdf",conventional_ccu_ccs,"Guidance on CO2 source, reference systems, system expansion, and transparent CCU/CCS comparison.",Use to avoid unfair reuse/new-build comparison and double counting CO2 benefit.,adopted,"Local PDF supplied by user."
global_co2_initiative_guidelines,guidance,Global CO2 Initiative TEA and LCA Guidelines for CO2 Utilization,2022,https://deepblue.lib.umich.edu/handle/2027.42/171800,conventional_ccu,"Harmonised guidance for rigorous and transparent TEA/LCA of CO2 utilisation.",Use as a transparency and reporting reference for CO2 systems.,reference,"More CCU-focused than pipeline reuse, but useful for consistency."
ecoinvent_apos_38,local_database,ecoinvent APOS 3.8 local export,2021,"D:\Amir\Heriot-Watt University Team Dropbox\RES_EPS_RCCS_Susana_Garcia\RCCS_Capture_Amir Jahanbakhsh\3. USorb-DAC Work\Ecoinvent_data_exported\Ecoinvent_apos_38",conventional_lci,"Background process database for steel, electricity, diesel, freight, construction, and waste treatment.",Use local licensed database for calculations; commit only mapping metadata.,adopted,"Do not commit licensed unit-process data."
supplied_lca_workbook_2023,supplementary_workbook,Supplementary LCA workbook with capture auxiliary and storage inventories,2023,"C:\Users\aj52\OneDrive - Heriot-Watt University\USorb-DAC\1-s2.0-S1750583623002098-mmc2.xlsx",conventional_inventory,"Example inventory structure for capture, auxiliary processes, and permanent storage.",Use as structure reference only.,reference,"Do not copy values blindly into the pipeline reuse case."
brightway_framework,software,Brightway LCA Software Framework,2026,https://docs.brightway.dev/en/latest/,calculation_engine,"Open-source Python LCA framework.",Candidate engine for reproducible local calculation.,future_use,"Good fit with a Python pipeline model."
openlca_software,software,openLCA,2026,https://www.openlca.org/,calculation_engine,"Free professional LCA and footprint software with many databases.",Candidate cross-check and reviewer-friendly engine.,future_use,"Useful for independent verification of Brightway results."
emerging_technology_lca_review,paper,Life cycle assessment of emerging technologies - review literature,2019,needs_full_reference,prospective_lca,"Discusses uncertainty and scale-up issues for early-stage technologies.",Use later if prospective CCS infrastructure scenarios are added.,future_extension,"Not used in version 1 conventional LCA."
futura_prospective_lca,paper_or_tool,Futura scenario analysis for prospective LCA,2021,needs_full_reference,prospective_lca,"Transparent scenario analysis for prospective LCA.",Use later for 2030 or 2050 background scenarios.,future_extension,"Not used in version 1 conventional LCA."
dynamic_lca_literature,paper_or_tool,Dynamic LCA and time-dependent climate impact literature,needs_review,needs_full_reference,dynamic_lca,"Tracks timing of emissions and time-dependent climate effects.",Use later if storage timing or delayed emissions become important.,future_extension,"Not used in version 1 conventional LCA."
