mapping_key,candidate_rank,match_score,activity_group,boundary_role,activity_name,location,reference_product,unit,source_name,source_file,database,system_model,version,basis,licence_status,review_status,notes
pipeline_steel,1,8,materials,new-build steel and refurbishment steel,"steel production, low-alloyed, hot rolled",RER,"steel, low-alloyed, hot rolled",,ecoinvent,672cb227-fef6-40fc-a01b-7501c6b0596c_8cb650d5-8a48-4719-81b1-2080b3b4387f.spold,,,,"Steel mass is calculated from pipeline length, diameter, wall thickness and steel density.",shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
pipeline_steel,2,8,materials,new-build steel and refurbishment steel,"market for steel, low-alloyed",GLO,"steel, low-alloyed",,ecoinvent,62ce7abe-b625-4429-9bc9-e03e981df4b5_817c3650-4fed-4ef2-b9b6-404a198834e6.spold,,,,"Steel mass is calculated from pipeline length, diameter, wall thickness and steel density.",shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
pipeline_steel,3,8,materials,new-build steel and refurbishment steel,"market for steel, low-alloyed, hot rolled",GLO,"steel, low-alloyed, hot rolled",,ecoinvent,28c738e9-40b6-4eb8-966e-8357ded70192_8cb650d5-8a48-4719-81b1-2080b3b4387f.spold,,,,"Steel mass is calculated from pipeline length, diameter, wall thickness and steel density.",shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
pipeline_steel,4,6,materials,new-build steel and refurbishment steel,"steel production, low-alloyed, hot rolled",RoW,"steel, low-alloyed, hot rolled",,ecoinvent,76c136c6-7411-4cc8-aa8a-3afb3ac100fd_8cb650d5-8a48-4719-81b1-2080b3b4387f.spold,,,,"Steel mass is calculated from pipeline length, diameter, wall thickness and steel density.",shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
pipeline_steel,5,5,materials,new-build steel and refurbishment steel,"steel production, converter, low-alloyed",RER,"steel, low-alloyed",,ecoinvent,e63b0eb4-d61e-4ddd-bd52-74e2771a8035_817c3650-4fed-4ef2-b9b6-404a198834e6.spold,,,,"Steel mass is calculated from pipeline length, diameter, wall thickness and steel density.",shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
pipeline_steel,6,3,materials,new-build steel and refurbishment steel,"steel production, converter, low-alloyed",RoW,"steel, low-alloyed",,ecoinvent,64578a4e-b019-40bd-a5a4-e5a1088bd0bc_817c3650-4fed-4ef2-b9b6-404a198834e6.spold,,,,"Steel mass is calculated from pipeline length, diameter, wall thickness and steel density.",shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
pipeline_steel,7,3,materials,new-build steel and refurbishment steel,"steel production, electric, low-alloyed",RoW,"steel, low-alloyed",,ecoinvent,9cc3e151-8d55-4fe6-83d9-a5a4322df4e8_817c3650-4fed-4ef2-b9b6-404a198834e6.spold,,,,"Steel mass is calculated from pipeline length, diameter, wall thickness and steel density.",shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
pipeline_steel,8,2,materials,new-build steel and refurbishment steel,"steel production, converter, low-alloyed",IN,"steel, low-alloyed",,ecoinvent,20858185-df9e-435b-9273-e495c5913984_817c3650-4fed-4ef2-b9b6-404a198834e6.spold,,,,"Steel mass is calculated from pipeline length, diameter, wall thickness and steel density.",shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
pipeline_steel,9,2,materials,new-build steel and refurbishment steel,"steel production, electric, low-alloyed",Europe without Switzerland and Austria,"steel, low-alloyed",,ecoinvent,35ad0a55-5577-44b4-b00e-501c4961c8a1_817c3650-4fed-4ef2-b9b6-404a198834e6.spold,,,,"Steel mass is calculated from pipeline length, diameter, wall thickness and steel density.",shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
pipeline_steel,10,2,materials,new-build steel and refurbishment steel,"steel production, electric, low-alloyed",CA-QC,"steel, low-alloyed",,ecoinvent,3c5853df-eacd-4b1d-ad51-908ccdc9b0af_817c3650-4fed-4ef2-b9b6-404a198834e6.spold,,,,"Steel mass is calculated from pipeline length, diameter, wall thickness and steel density.",shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
offshore_pipeline_construction,1,13,construction,new equivalent offshore pipeline construction,"market for pipeline, natural gas, long distance, high capacity, offshore",GLO,"pipeline, natural gas, long distance, high capacity, offshore",,ecoinvent,5514e0b9-bf52-43b5-a9c3-6d057ed83dc4_307d6449-1d90-434e-9042-2d6bd61d60d9.spold,,,,New-build comparison needs a construction activity for an equivalent offshore pipeline.,shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
offshore_pipeline_construction,2,10,construction,new equivalent offshore pipeline construction,"pipeline construction, natural gas, long distance, high capacity, offshore",GLO,"pipeline, natural gas, long distance, high capacity, offshore",,ecoinvent,a118251c-c545-4dfc-b4d7-e3985e38e384_307d6449-1d90-434e-9042-2d6bd61d60d9.spold,,,,New-build comparison needs a construction activity for an equivalent offshore pipeline.,shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
offshore_pipeline_construction,3,5,construction,new equivalent offshore pipeline construction,"market for pipeline, liquid manure",GLO,"pipeline, liquid manure",,ecoinvent,1254fb78-4b66-4a30-aece-c0ddfe066a65_bd960959-a3a3-4694-9ff7-d43750f512eb.spold,,,,New-build comparison needs a construction activity for an equivalent offshore pipeline.,shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
offshore_pipeline_construction,4,5,construction,new equivalent offshore pipeline construction,"market for pipeline, natural gas, high pressure distribution network",GLO,"pipeline, natural gas, high pressure distribution network",,ecoinvent,26bde7c0-cd5e-45aa-8ff7-81da0bf29030_e35c5939-e217-4469-a09c-0c72ecb3b1cb.spold,,,,New-build comparison needs a construction activity for an equivalent offshore pipeline.,shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
